grantee,grantee_url,description,Award Date,Amount,Term,Program
"The Aspen Institute, Inc.",http://www.aspeninstitute.org,To support to the Opportunity Youth Incentive Forum (OYIF) convening in May 2017.,3/ 1/2017,"$75,000",12 months,Memberships & Sponsorships
"Third Sector New England, Inc.",http://www.tsne.org,To provide core support to Commonwealth Seminar and to build the Seminar’s fundraising capacity.,3/ 1/2017,"$100,000",36 months,Sector Effectiveness
Tides Center,http://www.tides.org,Barr Foundation membership dues for Emerging Practitioners in Philanthropy and support for the Boston Chapter,3/ 1/2017,"$5,000",12 months,Memberships & Sponsorships
"LearnLaunch, Inc.",http://www.learnlaunch.org,To support the 2017 Across Boundaries conference in Boston.,1/31/2017,"$7,000",12 months,Memberships & Sponsorships
"Montessori For All, Inc.",http://www.montessoriforall.org,To support Montessori For All’s consultancy practice and local stakeholder forum.,1/31/2017,"$300,000",24 months,Education
National Public Education Support Fund,http://www.npesf.org,Barr Foundation membership dues for the Education Funder Strategy Group,1/31/2017,"$10,000",12 months,Memberships & Sponsorships
"NECEC Institute, Inc.",http://nececinstitute.org,To conduct analysis of the economic benefits of renewable energy policies.,1/31/2017,"$150,000",6 months,Climate
"Norman B. Leventhal Map Center, Inc.",http://www.leventhalmap.org,To include Climate Ready Boston maps in the Regions and Seasons: Mapping Climate through History exhibit.,1/31/2017,"$25,000",8 months,Climate
Philanthropy Roundtable,http://www.philanthropyroundtable.org,Barr Foundation membership dues,1/31/2017,"$1,000",12 months,Memberships & Sponsorships
"Technology Affinity Group, Inc.",http://www.tagtech.org,Barr Foundation membership dues,1/31/2017,"$2,000",12 months,Memberships & Sponsorships
Asian American-Pacific Islanders in Philanthropy,http://aapip.org,Barr Foundation membership dues,1/ 4/2017,"$10,000",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation membership dues,1/ 4/2017,"$21,500",12 months,Memberships & Sponsorships
Communication Network,http://www.comnetwork.org,Barr Foundation membership dues,1/ 4/2017,"$5,000",12 months,Memberships & Sponsorships
Consensus Building Institute,http://www.cbuilding.org,"To plan, design, and execute a series of Commonwealth Conversations on sustainable mobility.",1/ 4/2017,"$180,000",12 months,Climate
Consultative Group on Biological Diversity,https://www.cgbd.org,Barr Foundation membership dues for the Climate and Energy Funders Group,1/ 4/2017,"$7,500",12 months,Memberships & Sponsorships
"Council on Foundations, Inc.",http://www.cof.org,Barr Foundation membership dues,1/ 4/2017,"$25,000",12 months,Memberships & Sponsorships
"EdVestors, Inc.",http://www.edvestors.org,To build capacity within the creative youth development field to better measure and communicate impact.,1/ 4/2017,"$50,000",12 months,Arts & Creativity
"Environmental Defense Fund, Inc.",http://www.edf.org,To reform gas markets to ensure the efficient use of existing infrastructure.,1/ 4/2017,"$300,000",24 months,Climate
"Grants Managers Network, Inc.",http://www.gmnetwork.org,Barr Foundation membership dues,1/ 4/2017,"$5,340",12 months,Memberships & Sponsorships
Hispanics in Philanthropy,http://www.hiponline.org,Barr Foundation membership dues,1/ 4/2017,"$15,000",12 months,Memberships & Sponsorships
Independent Sector,https://www.independentsector.org,Barr Foundation membership dues,1/ 4/2017,"$15,000",12 months,Memberships & Sponsorships
National Committee for Responsive Philanthropy,http://www.ncrp.org,Barr Foundation member support,1/ 4/2017,"$15,000",12 months,Memberships & Sponsorships
"New England Blacks in Philanthropy, Inc.",http://nebip.org,To conduct the joint affinity group research project Giving Boston: Comparative Analysis of Minority and Women Philanthropic Giving.,1/ 4/2017,"$75,000",12 months,Sector Effectiveness
"Peabody Essex Museum, Inc.",http://www.pem.org,"To investigate, apply, and evaluate strategies based in neuroscience to the design of art experiences.",1/ 4/2017,"$130,000",12 months,Arts & Creativity
"Third Sector New England, Inc.",http://www.tsne.org,Barr Foundation membership dues for the Early Childhood Funders Collaborative,1/ 4/2017,"$10,000",12 months,Memberships & Sponsorships
"A Better City Initiative, Inc.",http://www.abettercity.org,To support transportation projects to improve customers’ mobility experiences.,12/ 7/2016,"$535,000",24 months,Climate
Acadia Center,http://acadiacenter.org,To advance clean energy policies in New England.,12/ 7/2016,"$1,200,000",36 months,Climate
American Antiquarian Society,http://www.americanantiquarian.org,"To support the Worcester Cultural Coalition’s fit-out and operation of the WOOteria, a new collaborative art space and black box theater.",12/ 7/2016,"$1,100,000",24 months,Arts & Creativity
"American Repertory Theater Company, Inc.",http://www.americanrepertorytheater.org,To advance artistic risk and to explore offsite and touring productions.,12/ 7/2016,"$325,000",12 months,Arts & Creativity
"Arts Boston, Inc.",http://www.artsboston.org,To launch the Audience Lab to test and share innovative ways to engage and retain more diverse arts audiences.,12/ 7/2016,"$600,000",18 months,Arts & Creativity
"Better Future Project, Inc.",http://www.betterfutureproject.org,To provide core support.,12/ 7/2016,"$140,000",24 months,Climate
Celebrity Series of Boston,http://www.celebrityseries.org,"To advance artistic risk, innovation, and community engagement, as part of the ArtsAmplified initiative, and to upgrade Celebrity Series’ website and patron management software.",12/ 7/2016,"$600,000",30 months,Arts & Creativity
"Citizens’ Housing and Planning Association, Inc",http://www.chapa.org,To provide core support for the Massachusetts Smart Growth Alliance.,12/ 7/2016,"$100,000",12 months,Climate
City of Boston,http://www.cityofboston.gov,To support community-level resilience projects as part of Climate Ready Boston Phase II.,12/ 7/2016,"$835,000",24 months,Climate
"College Bound Dorchester, Inc.",http://collegebounddorchester.org,To conduct an external evaluation of the Core Influencer College Pathway Initiative.,12/ 7/2016,"$200,000",24 months,Education
"Conservation Law Foundation, Inc.",http://www.clf.org,To advance waterfront advocacy efforts and to plan for a multi-year waterfront campaign.,12/ 7/2016,"$330,000",6 months,Special Initiatives
"Conservation Law Foundation, Inc.",http://www.clf.org,To support regional climate policy and practice.,12/ 7/2016,"$1,200,000",24 months,Climate
"Dudley Street Neighborhood Initiative, Inc.",http://www.dsni.org,To deepen creative placemaking work and to plan and implement an Arts Innovation District in Upham’s Corner.,12/ 7/2016,"$600,000",36 months,Arts & Creativity
"Environment America Research and Policy Center, Inc.",http://environmentamericacenter.org,To launch campaigns calling for ambitious clean energy goals and effective implementation of existing commitments in Massachusetts cities and towns.,12/ 7/2016,"$100,000",12 months,Climate
Health Care Without Harm,http://www.noharm.org,To launch the Massachusetts Health Care Climate Alliance to catalyze health care executive engagement in climate action.,12/ 7/2016,"$550,000",24 months,Climate
"Huntington Theatre Company, Inc.",http://www.huntingtontheatre.org,To provide core support and to support the creation of a plan for the New Huntington complex.,12/ 7/2016,"$325,000",12 months,Arts & Creativity
"Isabella Stewart Gardner Museum, Inc.",http://www.gardnermuseum.org,"To provide core support and risk capital for experiments in visitor experience, audience diversification, new curatorial models, and multidisciplinary programs.",12/ 7/2016,"$325,000",12 months,Arts & Creativity
"LearnLaunch, Inc.",http://www.learnlaunch.org,To launch the public-private Massachusetts Personalized Learning Edtech (MAPLE) Consortium.,12/ 7/2016,"$200,000",12 months,Education
"Massachusetts Afterschool Partnership, Inc.",http://www.massafterschool.org,To provide core support.,12/ 7/2016,"$125,000",12 months,Education
"Massachusetts Business Alliance for Education, Inc.",http://www.mbae.org,"To provide core support as the Alliance works to achieve excellence, opportunity, and innovation in education.",12/ 7/2016,"$300,000",36 months,Education
"Massachusetts Communities Action Network, Inc.",http://www.mcan-pico.org,To expand access to high-quality vocational technical education in Massachusetts.,12/ 7/2016,"$200,000",24 months,Education
Massachusetts Development Finance Agency,http://www.massdevelopment.com,"To award grants for the planning, development, and build-out of arts-related collaborative work spaces.",12/ 7/2016,"$1,965,000",36 months,Arts & Creativity
"Massachusetts Nonprofit Network, Inc.",http://www.massnonprofitnet.org,To provide core support.,12/ 7/2016,"$450,000",36 months,Sector Effectiveness
Metropolitan Area Planning Council,http://www.mapc.org,"To advance the role of the arts as a core municipal planning competency through education, project funding, advocacy, and policy development.",12/ 7/2016,"$1,525,000",36 months,Arts & Creativity
National Academy Foundation,http://www.naf.org,To plan for Future Ready Venture implementation in New England.,12/ 7/2016,"$250,000",12 months,Education
"Nurtury, Inc.",http://nurturyboston.org,To build system capacity for growth and success.,12/ 7/2016,"$100,000",12 months,Education
"Phoenix Charter Academy Foundation, Inc.",http://www.phoenixcharteracademy.org,To support the Phoenix Charter Academy Network’s school model redesign planning process.,12/ 7/2016,"$300,000",6 months,Education
"Roca, Inc.",http://www.rocainc.org,To support the direct-service delivery and expansion of Roca’s intervention model for high-risk young men in Boston as part of the Massachusetts Juvenile Justice Pay for Success Initiative.,12/ 7/2016,"$300,000",24 months,Education
